date,player,    rank    ,    total    ,    rp_spent    ,    battles    ,    negotiations    ,      traded_goods      ,    wonder_orbs    ,    activity_points    ,    events    ,     donations     ,     encounters     
10/13/25,Carl, 9 ," 191,540 "," 183,220 "," 11,900 "," 3,661 "," 44,200,000 "," 2,887 "," 35,655 "," 8,197 ",15,80
10/13/25,Minx, 29 ," 150,860 "," 199,950 "," 15,350 ", 771 ," 20,260,000 "," 3,006 "," 36,136 "," 9,466 ",45,80
10/13/25,STH0017, 32 ," 145,530 "," 142,380 "," 6,229 "," 5,680 "," 29,560,000 "," 2,768 "," 36,532 "," 9,494 ",3,80
10/13/25,Chip Finn, 49 ," 134,370 "," 142,600 "," 15,538 "," 1,385 "," 21,260,000 "," 2,015 "," 36,294 "," 8,634 ",15,80
10/13/25,Niesa, 66 ," 123,970 "," 173,580 "," 10,582 "," 3,433 "," 10,140,000 "," 3,838 "," 34,745 "," 9,601 ",15,80
10/13/25,Tinger61, 131 ," 109,080 "," 148,260 "," 11,419 "," 2,252 "," 9,100,000 "," 2,760 "," 34,439 "," 9,229 ",0,80
10/13/25,Shaun, 169 ," 104,060 "," 126,940 "," 9,866 "," 1,601 "," 13,070,000 "," 2,088 "," 36,046 "," 9,206 ",15, 77 
10/13/25,Beyondthestars, 178 ," 102,810 "," 158,010 "," 6,252 "," 5,663 "," 5,750,000 "," 3,077 "," 33,493 "," 9,245 ",15,80
10/13/25,Lethdo, 212 ," 98,996 "," 141,860 "," 7,632 "," 4,883 "," 4,920,000 "," 2,976 "," 36,283 "," 10,137 ",15,80
10/13/25,Andres M Leal, 266 ," 94,851 "," 133,670 "," 9,434 "," 2,865 "," 7,520,000 "," 1,793 "," 33,996 "," 9,428 ",15,80
10/13/25,Cardinal, 376 ," 87,190 "," 104,860 "," 6,858 "," 3,596 "," 6,400,000 "," 2,851 "," 35,208 "," 9,478 ",15, 63 
10/13/25,sensejus, 392 ," 86,379 "," 103,760 "," 7,993 "," 4,688 "," 5,510,000 "," 2,331 "," 32,916 "," 9,094 ",15,80
10/13/25,Taysacks, 436 ," 84,245 "," 117,050 "," 7,319 "," 3,364 "," 4,730,000 "," 2,471 "," 30,119 "," 8,773 ",15, 60 
10/13/25,falcon, 441 ," 84,030 "," 64,852 "," 10,873 "," 1,524 "," 13,930,000 "," 1,526 "," 20,566 "," 5,468 ",10,80
10/13/25,Greta, 469 ," 82,333 "," 112,200 "," 1,828 "," 8,867 "," 4,450,000 "," 2,426 "," 33,648 "," 8,496 ",15, 63 
10/13/25,Ratatoskr, 553 ," 79,719 "," 93,153 "," 7,241 "," 2,456 "," 9,780,000 "," 1,404 "," 22,000 "," 8,254 ",0, 52 
10/13/25,DaBear, 715 ," 74,615 "," 122,690 "," 4,738 "," 5,114 "," 3,210,000 "," 1,334 "," 26,151 "," 8,532 ",9, 68 
10/13/25,Sundiver, 950 ," 69,521 "," 111,770 "," 7,004 "," 1,932 "," 2,170,000 "," 1,484 "," 36,386 "," 8,302 ",15,80
10/13/25,ThorNDrJones, 980 ," 69,010 "," 116,800 "," 4,811 "," 4,204 "," 1,960,000 "," 1,327 "," 20,816 "," 9,128 ",15, 68 
10/13/25,KiwiNZ," 1,159 "," 66,078 "," 102,700 "," 6,732 "," 3,238 "," 1,710,000 "," 1,159 "," 26,299 "," 8,605 ",0, 78 
10/13/25,Ulmos Mist," 1,470 "," 60,384 "," 82,410 "," 7,963 "," 1,721 "," 1,750,000 "," 1,706 "," 20,697 "," 6,294 ",15, 38 
10/13/25,LilMedley," 1,502 "," 59,824 "," 89,524 "," 8,396 "," 2,330 "," 1,360,000 ", 676 ," 26,844 "," 7,202 ",15,80
10/13/25,BEVO2112," 1,954 "," 54,642 "," 75,786 "," 1,384 "," 5,532 "," 2,950,000 "," 1,522 "," 23,073 "," 6,039 ",30,80
10/13/25,CLV. Kelsie.," 2,037 "," 53,866 "," 104,540 "," 5,915 "," 1,879 "," 729,530 ", 730 ," 21,857 "," 4,846 ",15, 63 
10/13/25,NextEvolution," 2,368 "," 50,989 "," 66,353 "," 4,932 "," 1,802 "," 4,530,000 ", 858 ," 20,443 "," 5,529 ",15,80
10/13/25,Yoohoohoo," 2,421 "," 50,415 "," 60,318 "," 7,565 ", 567 ," 2,280,000 ", 746 ," 18,268 "," 8,949 ",15, 65 
10/13/25,Terrahawk," 2,955 "," 46,187 "," 52,432 "," 6,173 ", 904 ," 1,750,000 "," 1,732 "," 16,490 "," 5,102 ",15, 65 
10/13/25,Pepapik," 3,800 "," 41,095 "," 36,738 "," 3,877 "," 1,581 "," 5,960,000 ", 723 ," 16,162 "," 3,833 ",38, 79 
10/13/25,Mongo," 4,037 "," 39,910 "," 47,126 "," 3,089 "," 1,782 "," 3,130,000 "," 1,203 "," 14,329 "," 4,678 ",15,80
10/13/25,SephGaming," 5,488 "," 33,540 "," 57,159 "," 1,454 "," 1,520 "," 987,350 "," 1,007 "," 16,857 "," 4,607 ",15, 60 
10/6/25,Carl,9,"189,370","181,890","11,727","3,641","43,520,000","2,877","35,354","8,192",15,80
10/6/25,Minx,29,"149,410","198,190","15,197",770,"20,090,000","2,956","35,981","9,361",15,80
10/6/25,STH0017,36,"144,150","140,980","6,169","5,635","29,190,000","2,768","36,239","9,434",15,80
10/6/25,Chip Finn,49,"133,020","141,080","15,387","1,380","21,030,000","2,001","36,015","8,544",15,80
10/6/25,Niesa,66,"123,050","172,210","10,511","3,393","10,020,000","3,838","34,533","9,487",15,80
10/6/25,Tinger61,136,"108,000","146,310","11,336","2,215","9,060,000","2,729","34,174","9,130",15,80
10/6/25,Shaun,170,"102,990","125,670","9,775","1,572","12,880,000","2,065","35,833","9,206",15,80
10/6/25,Beyondthestars,178,"102,180","156,760","6,198","5,625","5,700,000","3,077","33,327","9,218",15,80
10/6/25,Lethdo,216,"98,045","140,310","7,562","4,850","4,900,000","2,946","35,852","10,013",15,80
10/6/25,Andres M Leal,267,"94,184","132,440","9,396","2,796","7,500,000","1,793","33,855","9,326",15,80
10/6/25,Cardinal,384,"86,224","103,770","6,796","3,576","6,290,000","2,822","35,007","9,344",17,65
10/6/25,sensejus,399,"85,212","102,490","7,904","4,644","5,480,000","2,241","32,737","9,054",20,80
10/6/25,Taysacks,439,"83,545","115,430","7,284","3,332","4,690,000","2,471","29,982","8,713",15,74
10/6/25,falcon,454,"82,749","63,755","10,706","1,498","13,690,000","1,516","20,349","5,392",15,80
10/6/25,Greta,477,"81,623","111,030","1,812","8,796","4,410,000","2,416","33,443","8,389",15,63
10/6/25,Ratatoskr,549,"79,268","92,984","7,218","2,420","9,750,000","1,364","21,914","8,224",10,69
10/6/25,DaBear,720,"73,982","121,490","4,693","5,076","3,170,000","1,334","25,988","8,457",15,69
10/6/25,Sundiver,965,"68,875","111,190","6,881","1,908","2,120,000","1,484","36,041","8,227",10,80
10/6/25,ThorNDrJones,"1,006","68,258","115,950","4,747","4,165","1,950,000","1,287","20,608","9,038",15,73
10/6/25,KiwiNZ,"1,166","65,490","101,720","6,660","3,203","1,690,000","1,159","26,088","8,530",15,70
10/6/25,Ulmos Mist,"1,464","60,184","82,010","7,930","1,715","1,750,000","1,706","20,628","6,279",18,60
10/6/25,LilMedley,"1,532","59,113","88,471","8,319","2,302","1,330,000",656,"26,686","7,133",15,80
10/6/25,BEVO2112,"2,004","53,922","75,029","1,382","5,445","2,910,000","1,490","22,865","5,934",15,80
10/6/25,CLV. Kelsie.,"2,040","53,490","103,650","5,875","1,856","729,530",730,"21,785","4,826",15,63
10/6/25,NextEvolution,"2,402","50,297","65,319","4,868","1,738","4,460,000",858,"20,269","5,505",15,80
10/6/25,Yoohoohoo,"2,439","49,970","59,637","7,494",552,"2,260,000",746,"18,110","8,904",15,73
10/6/25,Terrahawk,"3,019","45,434","51,479","6,074",884,"1,710,000","1,706","16,206","5,065",15,65
10/6/25,Pepapik,"3,951","40,230","35,846","3,743","1,547","5,820,000",723,"15,983","3,833",,
10/6/25,Mongo,"4,270","38,696","45,869","2,982","1,726","3,020,000","1,161","13,955","4,554",15,80
10/6/25,SephGaming,"5,601","32,960","56,200","1,413","1,488","980,380",987,"16,657","4,547",15,63
9/29/25,Carl,10,"187,030","179,880","11,602","3,614","43,030,000","2,817","35,119","7,960",15,80
9/29/25,STH0017,39,"142,090","139,750","6,124","5,584","28,840,000","2,668","36,010","9,108",15,80
9/29/25,Chip Finn,51,"131,530","139,850","15,237","1,368","20,710,000","1,979","35,816","8,465",15,80
9/29/25,Niesa,67,"122,010","170,850","10,446","3,351","9,920,000","3,798","34,251","9,450",15,80
9/29/25,Tinger61,136,"107,120","145,120","11,228","2,192","9,030,000","2,698","33,726","9,069",15,79
9/29/25,Shaun,174,"101,780","124,280","9,688","1,538","12,710,000","2,033","35,587","9,116",15,80
9/29/25,Beyondthestars,185,"100,410","155,330","6,131","5,587","5,660,000","2,917","33,031","8,938",15,80
9/29/25,Lethdo,218,"97,259","139,040","7,493","4,824","4,860,000","2,917","35,580","9,984",15,80
9/29/25,Andres M Leal,269,"93,475","131,250","9,343","2,736","7,470,000","1,793","33,613","9,227",15,80
9/29/25,Cardinal,386,"85,472","102,840","6,745","3,551","6,240,000","2,777","34,797","9,316",20,65
9/29/25,sensejus,402,"84,430","101,140","7,802","4,612","5,440,000","2,241","32,520","8,974",15,80
9/29/25,Taysacks,449,"82,344","113,160","7,222","3,310","4,670,000","2,400","29,821","8,657",11,60
9/29/25,Greta,473,"81,056","110,180","1,801","8,726","4,400,000","2,396","33,216","8,346",15,63
9/29/25,falcon,479,"80,940","61,378","10,549","1,475","13,450,000","1,470","20,174","5,272",14,80
9/29/25,Ratatoskr,550,"78,696","91,740","7,183","2,382","9,720,000","1,364","21,777","8,180",15,71
9/29/25,DaBear,724,"73,415","120,430","4,655","5,041","3,130,000","1,334","25,812","8,388",15,70
9/29/25,Sundiver,982,"68,233","110,540","6,825","1,870","2,070,000","1,456","35,875","8,190",15,74
9/29/25,ThorNDrJones,"1,018","67,662","114,850","4,691","4,122","1,940,000","1,287","20,421","8,959",16,80
9/29/25,KiwiNZ,"1,174","64,912","100,820","6,598","3,179","1,690,000","1,139","25,960","8,471",15,63
9/29/25,Ulmos Mist,"1,460","59,854","81,642","7,877","1,708","1,750,000","1,696","20,515","6,225",18,60
9/29/25,LilMedley,"1,565","58,337","87,248","8,218","2,279","1,310,000",656,"26,080","7,021",15,80
9/29/25,toasted corn,"1,755","56,041","80,943","5,337","1,459","2,660,000","1,584","21,705","6,787",10,55
9/29/25,CLV. Kelsie.,"2,046","53,140","103,420","5,833","1,832","728,010",730,"21,729","4,674",15,63
9/29/25,NextEvolution,"2,468","49,502","64,171","4,804","1,682","4,380,000",858,"20,112","5,408",15,80
9/29/25,Yoohoohoo,"2,473","49,478","58,832","7,427",532,"2,240,000",746,"18,015","8,826",16,76
9/29/25,Terrahawk,"3,168","44,299","50,757","5,982",863,"1,670,000","1,646","15,934","4,789",15,65
9/29/25,Mongo,"4,460","37,648","44,681","2,874","1,673","2,910,000","1,133","13,692","4,525",15,80
9/29/25,SephGaming,"5,751","32,338","55,515","1,375","1,453","966,480",967,"16,528","4,382",15,62
9/22/25,Carl,10,"185,410","178,420","11,489","3,582","42,590,000","2,817","34,732","7,914",15,80
9/22/25,Minx,27,"147,700","195,440","15,100",767,"19,890,000","2,926","35,467","9,148",16,80
9/22/25,STH0017,39,"140,820","138,470","6,069","5,536","28,480,000","2,668","35,748","9,108",15,80
9/22/25,Chip Finn,52,"129,990","138,500","15,097","1,358","20,360,000","1,959","35,598","8,368",15,80
9/22/25,Niesa,68,"120,770","169,490","10,371","3,325","9,750,000","3,758","33,999","9,316",15,80
9/22/25,Tinger61,138,"106,220","143,680","11,158","2,172","9,010,000","2,665","33,510","8,937",10,80
9/22/25,Shaun,182,"100,300","122,640","9,594","1,516","12,490,000","1,999","35,249","8,909",15,75
9/22/25,Beyondthestars,185,"99,742","154,030","6,075","5,551","5,620,000","2,917","32,804","8,872",15,80
9/22/25,Lethdo,224,"96,399","137,700","7,421","4,793","4,810,000","2,897","35,316","9,891",15,80
9/22/25,Andres M Leal,274,"92,413","130,420","9,313","2,682","7,450,000","1,683","33,398","9,154",16,80
9/22/25,Cardinal,384,"84,953","102,390","6,698","3,524","6,170,000","2,776","34,581","9,223",10,60
9/22/25,sensejus,406,"83,532","99,930","7,709","4,576","5,390,000","2,231","32,076","8,829",15,80
9/22/25,Taysacks,451,"81,783","112,060","7,189","3,274","4,650,000","2,400","29,618","8,576",15,60
9/22/25,Greta,479,"80,369","109,210","1,783","8,661","4,380,000","2,376","32,885","8,241",15,63
9/22/25,falcon,502,"79,399","60,321","10,370","1,455","13,220,000","1,405","19,855","5,217",14,80
9/22/25,Ratatoskr,545,"78,266","91,320","7,148","2,338","9,680,000","1,362","21,673","8,114",15,75
9/22/25,DaBear,727,"72,873","119,420","4,623","4,997","3,100,000","1,334","25,625","8,328",15,67
9/22/25,Sundiver,992,"67,673","109,970","6,757","1,837","2,040,000","1,456","35,552","8,070",12,64
9/22/25,ThorNDrJones,"1,045","66,757","113,500","4,610","4,082","1,900,000","1,257","20,125","8,884",15,69
9/22/25,KiwiNZ,"1,176","64,473","100,020","6,549","3,156","1,690,000","1,139","25,783","8,399",15,80
9/22/25,Ulmos Mist,"1,449","59,609","81,214","7,823","1,702","1,750,000","1,695","20,383","6,225",20,60
9/22/25,LilMedley,"1,615","57,547","86,111","8,122","2,255","1,290,000",656,"25,894","6,816",15,80
9/22/25,toasted corn,"1,806","55,256","80,418","5,290","1,443","2,660,000","1,484","21,509","6,787",15,63
9/22/25,BEVO2112,"1,981","53,460","74,326","1,379","5,437","2,890,000","1,476","22,607","5,814",20,80
9/22/25,CLV. Kelsie.,"2,046","52,809","102,810","5,777","1,808","725,280",730,"21,606","4,674",15,63
9/22/25,Yoohoohoo,"2,497","49,027","58,229","7,372",494,"2,230,000",746,"17,857","8,751",15,64
9/22/25,NextEvolution,"2,531","48,747","62,985","4,750","1,622","4,330,000",858,"19,806","5,308",15,80
9/22/25,Terrahawk,"3,244","43,632","49,757","5,896",847,"1,640,000","1,612","15,597","4,789",15,64
9/22/25,Mongo,"4,671","36,529","43,453","2,783","1,622","2,790,000","1,101","13,493","4,415",17,80
9/22/25,SephGaming,"5,845","31,860","54,776","1,335","1,422","956,480",947,"16,222","4,382",15,60
9/15/25,Carl,10,"183,420","176,940","11,330","3,550","42,040,000","2,807","34,398","7,854",15,80
9/15/25,Minx,27,"146,500","193,840","14,963",753,"19,700,000","2,926","34,990","9,064",17,80
9/15/25,STH0017,38,"140,100","137,260","6,050","5,453","28,400,000","2,668","35,425","9,099",15,80
9/15/25,Chip Finn,53,"128,180","137,060","14,958","1,342","19,920,000","1,942","35,249","8,233",15,80
9/15/25,Niesa,70,"119,700","168,070","10,315","3,287","9,630,000","3,738","33,793","9,136",15,80
9/15/25,Tinger61,137,"105,340","142,540","11,070","2,154","8,970,000","2,645","33,324","8,764",15,64
9/15/25,Shaun,185,"99,231","121,310","9,510","1,495","12,300,000","1,975","35,027","8,894",15,58
9/15/25,Beyondthestars,186,"99,124","152,890","6,009","5,512","5,570,000","2,917","32,625","8,866",15,80
9/15/25,Lethdo,225,"95,558","136,470","7,350","4,762","4,790,000","2,872","34,845","9,784",15,63
9/15/25,Andres M Leal,271,"91,818","129,540","9,277","2,618","7,420,000","1,683","33,232","9,057",15,80
9/15/25,Cardinal,390,"83,880","100,650","6,627","3,497","6,050,000","2,766","34,356","9,090",15,66
9/15/25,sensejus,410,"82,754","98,726","7,611","4,538","5,340,000","2,231","31,839","8,749",15,80
9/15/25,Taysacks,450,"81,269","111,130","7,152","3,241","4,650,000","2,400","29,462","8,450",15,60
9/15/25,Greta,483,"79,729","108,240","1,775","8,592","4,360,000","2,366","32,644","8,114",15,63
9/15/25,falcon,527,"78,110","59,230","10,213","1,432","13,000,000","1,402","19,514","5,035",14,80
9/15/25,Ratatoskr,550,"77,553","90,281","7,090","2,298","9,630,000","1,362","21,426","7,992",11,72
9/15/25,DaBear,732,"72,208","118,300","4,586","4,951","3,070,000","1,334","25,378","8,208",15,68
9/15/25,Sundiver,"1,005","67,083","109,270","6,681","1,811","2,000,000","1,456","35,158","7,980",10,72
9/15/25,ThorNDrJones,"1,070","65,700","111,530","4,530","4,044","1,840,000","1,257","19,734","8,719",15,69
9/15/25,KiwiNZ,"1,189","63,854","99,137","6,490","3,121","1,680,000","1,119","25,560","8,330",15,80
9/15/25,Ulmos Mist,"1,439","59,378","80,840","7,768","1,697","1,750,000","1,695","20,236","6,225",20,60
9/15/25,LilMedley,"1,629","56,965","85,005","8,034","2,238","1,270,000",656,"25,721","6,770",15,80
9/15/25,toasted corn,"1,840","54,558","79,385","5,233","1,428","2,630,000","1,484","21,279","6,562",14,63
9/15/25,BEVO2112,"2,010","52,874","73,675","1,377","5,370","2,860,000","1,456","22,454","5,709",15,80
9/15/25,CLV. Kelsie.,"2,080","52,185","102,050","5,699","1,782","721,260",730,"21,476","4,470",15,60
9/15/25,Yoohoohoo,"2,557","48,131","57,344","7,309",484,"2,210,000",676,"17,695","8,626",15,64
9/15/25,NextEvolution,"2,564","48,048","61,991","4,694","1,568","4,250,000",858,"19,664","5,254",19,80
9/15/25,Terrahawk,"3,309","43,054","48,870","5,805",834,"1,620,000","1,602","15,305","4,766",15,65
9/15/25,Mongo,"4,909","35,355","42,031","2,682","1,572","2,700,000","1,071","13,200","4,260",15,80
9/15/25,SephGaming,"5,935","31,371","54,067","1,297","1,392","946,980",937,"16,006","4,297",15,60
9/8/25,Carl,10,"180,740","175,250","11,142","3,510","41,490,000","2,677","34,175","7,840",15,80
9/8/25,Minx,28,"144,850","192,160","14,804",736,"19,450,000","2,876","34,798","8,959",15,80
9/8/25,STH0017,38,"139,280","136,070","5,996","5,400","28,280,000","2,668","35,111","9,063",15,80
9/8/25,Chip Finn,56,"126,180","135,520","14,845","1,291","19,380,000","1,928","34,916","8,128",15,80
9/8/25,Niesa,71,"118,700","166,830","10,260","3,237","9,550,000","3,688","33,518","9,091",15,80
9/8/25,Tinger61,138,"104,780","141,490","11,001","2,133","8,940,000","2,635","33,079","8,764",15,80
9/8/25,Beyondthestars,184,"98,500","151,730","5,950","5,470","5,510,000","2,917","32,376","8,866",15,80
9/8/25,Shaun,189,"98,126","120,050","9,446","1,467","12,140,000","1,948","34,767","8,777",30,74
9/8/25,Lethdo,225,"94,913","135,800","7,291","4,728","4,780,000","2,853","34,559","9,634",15,60
9/8/25,Andres M Leal,272,"91,160","128,660","9,221","2,552","7,390,000","1,683","32,972","8,952",15,80
9/8/25,Cardinal,395,"83,078","99,968","6,578","3,458","5,990,000","2,732","34,141","8,950",16,72
9/8/25,sensejus,424,"81,470","97,437","7,522","4,490","5,300,000","2,138","31,541","8,629",16,80
9/8/25,Taysacks,444,"80,811","110,370","7,121","3,203","4,640,000","2,400","29,302","8,345",15,18
9/8/25,Greta,481,"79,185","107,430","1,771","8,512","4,350,000","2,356","32,447","8,017",15,67
9/8/25,falcon,550,"76,952","58,184","10,061","1,404","12,760,000","1,401","19,293","5,016",13,80
9/8/25,Ratatoskr,561,"76,789","89,516","7,053","2,252","9,600,000","1,310","21,308","7,900",20,47
9/8/25,DaBear,740,"71,490","117,200","4,539","4,901","3,020,000","1,334","25,160","8,073",15,70
9/8/25,Sundiver,"1,032","66,080","108,120","6,612","1,782","1,980,000","1,386","34,939","7,860",,
9/8/25,ThorNDrJones,"1,070","65,322","111,310","4,481","3,999","1,830,000","1,257","19,481","8,629",15,71
9/8/25,KiwiNZ,"1,195","63,317","98,136","6,483","3,096","1,660,000","1,119","25,370","8,156",15,54
9/8/25,Ulmos Mist,"1,441","59,074","80,323","7,713","1,691","1,750,000","1,694","20,119","6,189",15,80
9/8/25,LilMedley,"1,634","56,451","83,960","7,957","2,208","1,260,000",656,"25,573","6,768",15,80
9/8/25,toasted corn,"1,841","54,157","78,688","5,175","1,400","2,620,000","1,484","21,072","6,562",6,63
9/8/25,BEVO2112,"2,020","52,481","72,989","1,374","5,368","2,850,000","1,440","22,271","5,619",15,80
9/8/25,CLV. Kelsie.,"2,084","51,819","101,380","5,628","1,776","721,260",730,"21,368","4,436",15,63
9/8/25,Yoohoohoo,"2,577","47,655","56,771","7,241",464,"2,200,000",676,"17,505","8,511",15,80
9/8/25,NextEvolution,"2,643","47,150","60,753","4,621","1,513","4,170,000",858,"19,422","5,113",15,80
9/8/25,Terrahawk,"3,374","42,389","48,005","5,727",809,"1,600,000","1,577","15,085","4,706",15,66
9/8/25,Mongo,"5,099","34,338","40,823","2,594","1,525","2,620,000","1,041","12,913","4,155",15,80
9/8/25,SephGaming,"6,028","30,874","53,423","1,264","1,353","944,060",917,"15,897","4,221",14,50
9/1/25,Carl,10,179150,173770,11047,3477,41110000,2637,33997,7840,15,75
9/1/25,Minx,29,143510,189920,14665,725,19240000,2866,34692,8959,15,80
9/1/25,STH0017,38,137850,134730,5930,5351,28110000,2568,34836,9063,15,80
9/1/25,Chip Finn,58,124330,134020,14733,1257,18860000,1906,34644,8128,15,80
9/1/25,Niesa,71,118110,165430,10217,3200,9520000,3688,33387,9091,15,80
9/1/25,Tinger61,138,103960,139800,10932,2111,8900000,2616,32843,8764,15,80
9/1/25,Pool,154,101350,170180,9843,2295,6290000,2295,32091,8131,15,80
9/1/25,Beyondthestars,186,97740,150270,5881,5426,5450000,2917,32032,8866,15,80
9/1/25,Shaun,192,97211,118790,9373,1417,12030000,1925,34582,8777,18,63
9/1/25,Lethdo,221,94446,135000,7244,4703,4780000,2833,34399,9634,15,80
9/1/25,Andres M Leal,271,90637,127720,9184,2500,7360000,1673,32826,8952,15,80
9/1/25,Cardinal,396,82436,99087,6525,3414,5920000,2720,33959,8950,16,63
9/1/25,sensejus,425,80917,96402,7436,4458,5280000,2138,31418,8629,15,80
9/1/25,Taysacks,432,80593,109890,7120,3186,4640000,2390,29240,8345,15,51
9/1/25,Greta,483,78610,106380,1761,8439,4340000,2336,32277,8017,15,63
9/1/25,Ratatoskr,550,76596,89239,7020,2238,9590000,1310,21247,7900,6,47
9/1/25,falcon,579,75714,57074,9906,1373,12530000,1378,19062,5016,15,80
9/1/25,DaBear,748,70936,116010,4489,4857,2990000,1334,25015,8073,15,63
9/1/25,ThorNDrJones,1065,65041,111180,4430,3963,1830000,1247,19233,8629,16,63
9/1/25,KiwiNZ,1195,62988,97481,6439,3075,1650000,1119,25275,8156,15,80
9/1/25,Ulmos Mist,1438,58834,79898,7656,1688,1750000,1694,19982,6189,17,60
9/1/25,LilMedley,1656,55900,82857,7871,2185,1240000,656,25394,6768,15,80
9/1/25,toasted corn,1856,53744,77866,5123,1377,2600000,1484,20857,6562,15,63
9/1/25,BEVO2112,2037,52064,72352,1374,5288,2830000,1431,22154,5619,20,70
9/1/25,CLV. Kelsie.,2108,51455,100650,5557,1761,721260,730,21271,4436,16,63
9/1/25,Yoohoohoo,2619,47157,55661,7170,442,2190000,676,17426,8511,15,64
9/1/25,NextEvolution,2708,46441,59593,4550,1479,4070000,858,19238,5113,15,64
9/1/25,Terrahawk,3453,41778,47065,5646,788,1580000,1557,14809,4706,15,64
9/1/25,Mongo,5287,33458,39666,2516,1470,2550000,1011,12520,4155,15,68
9/1/25,SephGaming,6093,30518,52717,1239,1324,940680,907,15755,4221,13,60
8/25/25,Carl,10,177540,172410,10937,3449,40780000,2627,33508,7613,15,80
8/25/25,Minx,30,141930,188160,14534,711,19040000,2836,34277,8698,15,80
8/25/25,STH0017,38,136260,132860,5829,5314,27890000,2568,34810,8640,15,80
8/25/25,Chip Finn,60,122440,132440,14630,1216,18440000,1889,34560,7846,18,80
8/25/25,Niesa,73,116760,163860,10136,3173,9470000,3648,33009,8692,15,80
8/25/25,Tinger61,140,102500,138140,10806,2083,8820000,2565,32517,8464,15,80
8/25/25,Pool,163,99584,168410,9738,1834,5980000,2295,31867,7713,15,80
8/25/25,Beyondthestars,200,95911,146380,5787,5391,5370000,2917,31582,8467,20,54
8/25/25,Shaun,201,95733,117260,9282,1379,11900000,1887,34372,8408,15,80
8/25/25,Lethdo,221,93758,133830,7179,4674,4760000,2815,34380,9545,15,80
8/25/25,Andres M Leal,269,90049,126980,9141,2456,7350000,1673,32537,8781,15,80
8/25/25,Cardinal,402,81314,98035,6424,3389,5810000,2663,33608,8869,20,31
8/25/25,Taysacks,430,79973,109110,7093,3154,4630000,2380,29067,8114,15,60
8/25/25,sensejus,435,79842,94976,7319,4417,5240000,2138,31034,8347,15,80
8/25/25,Greta,482,77885,105430,1743,8378,4320000,2316,31958,7865,15,63
8/25/25,Ratatoskr,534,76359,88893,6976,2228,9580000,1310,21114,7898,0,63
8/25/25,falcon,608,74248,56001,9757,1350,12320000,1327,18735,4868,15,80
8/25/25,DaBear,747,70357,114940,4433,4830,2960000,1334,24824,8010,15,70
8/25/25,ThorNDrJones,1091,64106,110110,4385,3930,1820000,1236,19104,8209,19,63
8/25/25,KiwiNZ,1219,62124,96235,6344,3045,1620000,1089,25104,8078,10,63
8/25/25,Ulmos Mist,1429,58538,79433,7602,1682,1750000,1691,19800,6162,15,80
8/25/25,LilMedley,1734,54694,81471,7752,2159,1230000,626,24683,6445,15,80
8/25/25,toasted corn,1911,52855,76691,5072,1359,2580000,1484,20608,6165,15,62
8/25/25,BEVO2112,2055,51573,71900,1372,5212,2800000,1412,21988,5564,15,45
8/25/25,CLV. Kelsie.,2127,51010,99996,5489,1752,719260,730,21170,4323,15,60
8/25/25,Yoohoohoo,2662,46497,54942,7110,431,2170000,676,17258,8234,17,66
8/25/25,NextEvolution,2816,45430,58333,4479,1451,3990000,858,18900,4819,15,64
8/25/25,Terrahawk,3580,40898,46098,5567,773,1550000,1523,14636,4504,15,63
8/25/25,Mongo,5487,32575,38482,2443,1440,2450000,991,12381,4084,15,74
8/25/25,SephGaming,6251,29834,51495,1195,1290,923620,895,15552,4113,16,63
8/18/25,Carl,10,176130,171080,10856,3420,40430000,2607,33300,7578,15,80
8/18/25,Minx,30,140660,185910,14403,697,18930000,2806,33882,8698,15,80
8/18/25,STH0017,38,134470,129940,5722,5275,27610000,2538,34393,8640,15,80
8/18/25,Chip Finn,61,120780,131040,14517,1184,17990000,1872,34141,7846,15,80
8/18/25,Niesa,75,115940,162520,10066,3140,9430000,3615,32688,8692,15,80
8/18/25,Tinger61,145,101070,135300,10668,2057,8710000,2535,32192,8464,15,80
8/18/25,Pool,169,98259,166360,9613,1815,5730000,2295,31564,7713,15,80
8/18/25,Beyondthestars,200,95200,145110,5724,5350,5300000,2917,31195,8467,15,59
8/18/25,Shaun,206,94836,115990,9191,1365,11790000,1863,34053,8408,15,57
8/18/25,Lethdo,224,92846,132440,7086,4646,4740000,2785,34099,9448,15,80
8/18/25,Andres M Leal,266,89529,126730,9108,2403,7340000,1623,32435,8778,15,80
8/18/25,Cardinal,407,80577,97070,6360,3373,5750000,2651,33330,8754,15,38
8/18/25,Taysacks,428,79528,108360,7056,3126,4630000,2360,28914,8114,13,60
8/18/25,sensejus,446,78819,93930,7232,4376,5200000,2058,30793,8347,15,80
8/18/25,Greta,490,77259,104460,1731,8308,4290000,2306,31664,7769,15,63
8/18/25,Ratatoskr,534,75745,88009,6900,2208,9550000,1310,20966,7766,,
8/18/25,falcon,633,72938,54990,9591,1328,12080000,1307,18425,4801,14,80
8/18/25,DaBear,760,69640,113950,4361,4788,2930000,1334,24538,7857,15,67
8/18/25,ThorNDrJones,1092,63686,109250,4329,3901,1820000,1236,18792,8209,15,63
8/18/25,KiwiNZ,1230,61558,95295,6293,3023,1610000,1089,24909,7934,13,59
8/18/25,Ulmos Mist,1424,58320,79073,7545,1679,1750000,1691,19723,6162,15,60
